"fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","pH","sulphates","alcohol","quality","wine_type","wine_type_bin","acidity_ratio","alcohol_va_ratio","sugar_body_ratio","sulfur_efficiency"
7.4,0.7,0,1.9,0.076,11,3.51,0.56,9.4,5,"red",0,10.5714134694093,13.4285522449254,17.8598321175781,1.48648628560996
7.8,0.88,0,2.6,0.098,25,3.2,0.68,9.8,5,"red",0,8.86362629133376,11.1363509814193,25.4797502984471,3.20512779421439
7.8,0.76,0.04,2.3,0.092,15,3.26,0.65,9.8,5,"red",0,9.74998781251523,12.8947198753686,22.5397791101647,1.92307667652863
11.2,0.28,0.56,1.9,0.075,17,3.16,0.58,9.8,6,"red",0,13.3333174603364,34.9998750004464,18.6198175257882,1.5178570073342
7.4,0.66,0,1.8,0.075,13,3.51,0.56,9.4,5,"red",0,11.2121042240845,14.2424026630263,16.919840953495,1.75675651935723
7.9,0.6,0.06,1.6,0.069,15,3.3,0.46,9.4,5,"red",0,11.96967883382,15.6666405555991,15.0398586253289,1.89873393686912
7.3,0.65,0,1.2,0.065,15,3.39,0.47,10,7,"red",0,11.2307519526893,15.3845917160127,11.9998800012,2.05479423906928
7.8,0.58,0.02,2,0.073,9,3.36,0.57,9.5,7,"red",0,12.9999783333694,16.379282104686,18.9998195017147,1.15384600591718
7.5,0.5,0.36,6.1,0.071,17,3.35,0.8,10.5,5,"red",0,8.72092009195338,20.999958000084,64.0493274820614,2.26666636444448
6.7,0.58,0.08,1.8,0.097,15,3.28,0.54,9.2,5,"red",0,10.1514997704549,15.8620416171696,16.5598476494016,2.23880563599916
5.6,0.615,0,1.6,0.089,16,3.58,0.52,9.9,5,"red",0,9.10567625093292,16.0975348007564,15.8398431855525,2.85714234693887
7.8,0.61,0.29,1.6,0.114,9,3.26,1.56,9.1,5,"red",0,8.66665703704774,14.9180083311339,14.5598675052057,1.15384600591718
8.9,0.62,0.18,3.8,0.176,52,3.16,0.88,9.2,5,"red",0,11.1249860937674,14.8386857440552,34.959678370959,5.84269597273079
8.9,0.62,0.19,3.9,0.17,51,3.17,0.93,9.2,5,"red",0,10.9876407559991,14.8386857440552,35.8796699070368,5.73033643479366
8.5,0.28,0.56,1.8,0.092,35,3.3,0.75,10.5,7,"red",0,10.1190355725767,37.4998660719069,18.8998015520837,4.11764657439452
8.1,0.56,0.28,1.7,0.368,16,3.11,1.28,9.3,5,"red",0,9.64284566327897,16.6071132015836,15.8098529683674,1.97530839811007
7.4,0.59,0.08,4.4,0.086,6,3.38,0.5,9,4,"red",0,11.0447596346871,15.2542114335399,39.5996436032076,0.810810701241797
7.9,0.32,0.51,1.8,0.341,17,3.04,1.08,9.2,6,"red",0,9.51806082161347,28.7499101565308,16.5598476494016,2.151898461785
8.9,0.22,0.48,1.8,0.077,29,3.39,0.53,9.4,6,"red",0,12.7142675510464,42.7270785132795,16.919840953495,3.25842660017679
7.6,0.39,0.31,2.3,0.082,23,3.52,0.65,9.7,5,"red",0,10.8571273469609,24.8717310981254,22.3097835950991,3.02631539127429
7.9,0.43,0.21,1.6,0.106,10,3.17,0.91,9.5,5,"red",0,12.3437307129208,22.0929718768096,15.1998556013718,1.26582262457941
8.5,0.49,0.11,2.3,0.084,9,3.17,0.53,9.4,5,"red",0,14.1666430555949,19.1836343191136,21.6197967739103,1.05882340484431
6.9,0.4,0.14,2.4,0.085,21,3.43,0.63,9.7,6,"red",0,12.7777541152702,24.2499393751516,23.2797741861904,3.04347781978582
6.3,0.39,0.16,1.4,0.08,11,3.34,0.56,9.3,5,"red",0,11.454524628137,23.8460927023264,13.0198789151261,1.74603146888389
7.6,0.41,0.24,1.8,0.08,4,3.28,0.59,9.5,5,"red",0,11.6922897041697,23.1706751934751,17.0998375515433,0.526315720221616
7.1,0.71,0,1.9,0.08,14,3.47,0.55,9.4,5,"red",0,9.9999859155128,13.2394179726507,17.8598321175781,1.97183070819286
7.8,0.645,0,2,0.082,8,3.38,0.59,9.8,6,"red",0,12.0930045069698,15.1937748933723,19.5998079218824,1.0256408941486
6.7,0.675,0.07,2.4,0.089,17,3.35,0.54,10.1,5,"red",0,8.99327651909192,14.9629407956433,24.2397551784727,2.53731305413238
6.9,0.685,0,2.5,0.105,22,3.46,0.57,10.6,6,"red",0,10.0729779956526,15.4744299643358,26.4997191029775,3.18840533501372
8.3,0.655,0.12,2.3,0.083,15,3.17,0.66,9.8,5,"red",0,10.7096636004341,14.9618092186119,22.5397791101647,1.80722869792425
6.9,0.605,0.12,10.7,0.073,40,3.45,0.52,9.4,6,"red",0,9.51722825209896,15.5371644013812,100.579054556887,5.79710060911585
5.2,0.32,0.25,1.8,0.103,13,3.38,0.55,9.2,5,"red",0,9.12279101264735,28.7499101565308,16.5598476494016,2.49999951923086
7.8,0.645,0,5.5,0.086,5,3.4,0.55,9.6,6,"red",0,12.0930045069698,14.883697854732,52.799493124866,0.641025558842877
7.8,0.6,0.14,2.4,0.086,3,3.42,0.6,10.8,6,"red",0,10.5405262965861,17.99997000005,25.9197200670233,0.384615335305726
8.1,0.38,0.28,2.1,0.066,13,3.23,0.73,9.7,7,"red",0,12.2727086777141,25.5262486151352,20.3698024129166,1.60493807346444
5.7,1.13,0.09,1.5,0.172,7,3.5,0.48,9.8,4,"red",0,4.67212731792843,8.67255869685071,14.6998559414118,1.22806995998773
7.3,0.45,0.36,5.9,0.074,12,3.33,0.83,10.5,5,"red",0,9.01233455267339,23.3332814815967,61.9493495318299,1.64383539125543
8.8,0.61,0.3,2.8,0.088,17,3.26,0.51,9.3,4,"red",0,9.67031904360545,15.2458766461039,26.0397578302522,1.93181796229341
7.5,0.49,0.2,2.6,0.332,8,3.21,0.9,10.5,6,"red",0,10.8695494644211,21.4285276968823,27.2997133530098,1.06666652444446
8.1,0.66,0.22,2.2,0.069,9,3.3,1.2,10.3,5,"red",0,9.2045349948466,15.6060369605501,22.659766604404,1.11111097393692
6.8,0.67,0.02,1.8,0.05,5,3.48,0.52,9.5,5,"red",0,9.8550581810751,14.179083314801,17.0998375515433,0.735294009515587
4.6,0.52,0.15,2.1,0.054,8,3.9,0.56,13.1,4,"red",0,6.86566139453523,25.1922592456553,27.5096396237209,1.73913005671086
7.7,0.935,0.43,2.2,0.114,22,3.25,0.73,9.2,5,"red",0,5.64102150840915,9.839561668918,20.2398137937131,2.85714248608539
8.7,0.29,0.52,1.6,0.113,12,3.25,0.58,9.5,5,"red",0,10.7407274805834,32.7585077292837,15.1998556013718,1.37931018628619
6.4,0.4,0.23,1.6,0.066,5,3.34,0.56,9.2,5,"red",0,10.1587140337872,22.9999425001437,14.7198645772459,0.781249877929706
5.6,0.31,0.37,1.4,0.074,12,3.32,0.58,9.2,5,"red",0,8.23528200693823,29.6773236215367,12.8798815050902,2.14285676020415
8.8,0.66,0.26,1.7,0.074,4,3.15,0.74,9.2,5,"red",0,9.56520699434022,13.9393728191321,15.6398561133238,0.454545402892568
6.6,0.52,0.04,2.2,0.069,8,3.4,0.63,9.4,6,"red",0,11.7856932398335,18.0768883136763,20.6798056098273,1.21212102846651
6.6,0.5,0.04,2.1,0.068,6,3.39,0.64,9.4,6,"red",0,12.2221995885193,18.7999624000752,19.7398144457442,0.909090771349883
8.6,0.38,0.36,3,0.081,30,3.2,0.56,9.4,5,"red",0,11.6216059167488,24.7367770084816,28.1997349224917,3.48837168739864
7.6,0.51,0.15,2.8,0.11,33,3.17,0.63,10.2,6,"red",0,11.5151340679787,19.9999607843906,28.5597086909713,4.34210469182833
7.7,0.62,0.04,3.8,0.084,25,3.34,0.53,9.5,5,"red",0,11.6666489899258,15.3225559313614,36.099657053258,3.24675282509704
10.2,0.42,0.57,3.4,0.07,4,3.04,0.63,9.6,5,"red",0,10.3030198959395,22.8570884355037,32.6396866590081,0.392156824298351
7.5,0.63,0.12,5.1,0.111,50,3.26,0.77,9.4,5,"red",0,9.99998666668444,14.920611237125,47.9395493682359,6.6666657777779
7.8,0.59,0.18,2.3,0.076,17,3.43,0.59,10,5,"red",0,10.1298569742117,16.9491238150444,22.9997700023,2.17948690006578
7.3,0.39,0.31,2.4,0.074,9,3.41,0.54,9.4,6,"red",0,10.4285565306335,24.1025023012762,22.5597879379934,1.23287654344157
8.8,0.4,0.4,2.2,0.079,19,3.44,0.64,9.2,5,"red",0,10.9999862500172,22.9999425001437,20.2398137937131,2.1590906637397
7.7,0.69,0.49,1.8,0.115,20,3.21,0.71,9.3,5,"red",0,6.52541819879814,13.4782413358821,16.7398443194478,2.59740226007763
7.5,0.52,0.16,1.9,0.085,12,3.38,0.62,9.5,7,"red",0,11.0293955450066,18.2691956361622,18.049828526629,1.5999997866667
7,0.735,0.05,2,0.081,13,3.39,0.57,9.8,5,"red",0,8.91718609275657,13.3333151927684,19.5998079218824,1.85714259183677
7.2,0.725,0.05,4.65,0.086,4,3.41,0.39,10.9,5,"red",0,9.29031059314762,15.0344620214317,50.6844475395218,0.555555478395072
7.5,0.52,0.11,1.5,0.079,11,3.42,0.58,9.6,5,"red",0,11.9047430083444,18.4615029586482,14.3998617613271,1.46666647111114
6.6,0.705,0.07,1.6,0.076,6,3.44,0.58,10.7,5,"red",0,8.51611804371865,15.1772834364774,17.11981681796,0.909090771349883
9.3,0.32,0.57,2,0.074,27,3.28,0.79,10.7,5,"red",0,10.4494264613186,33.437395508139,21.3997710224501,2.90322549427683
8,0.705,0.05,1.9,0.074,8,3.34,0.95,10.5,6,"red",0,10.5960124556126,14.8935958956087,19.9497905271995,0.999999875000016
7.7,0.63,0.08,1.9,0.076,15,3.32,0.54,9.5,6,"red",0,10.8450551478097,15.0793411439029,18.049828526629,1.94805169505822
7.7,0.67,0.23,2.1,0.088,17,3.32,0.48,9.5,5,"red",0,8.55554604939328,14.179083314801,19.9498104768005,2.20779192106598
